index,x,y,z,label
0,-15.926158536980935,-44.52969502310438,-40.535997221505106,A
0,-39.321868544067904,-2.290543200868342,-53.85712877291829,A
0,-15.5330095648725,-46.64059995193274,-39.819094042411734,A
0,-131.8947541799434,-131.27166159713536,-2.3635744440988447,A
0,-164.51270795441923,-5.030954534251109,-44.63678414437034,A
0,-57.465410223669345,11.129399152468928,-57.38310795925778,A
0,-171.88230340760362,-98.03860111428489,-11.42126441770959,A
0,-178.5101467657396,-85.20291160605782,-15.501072756375358,A
0,-135.8812765845412,-129.51058472042592,-2.720399606892414,A
0,-155.52855194256557,-116.83323036373713,-5.88589399943702,A
0,-119.48434578024207,-135.36917461508162,-1.7400863011160403,A
0,-125.62582047339444,-133.5913654197795,-1.9606864354769478,A
0,-25.602945728742142,-99.14250856161567,-20.679517680149782,A
0,-41.64270891849463,-117.8949324791983,-13.022736519793881,A
0,-85.42176256606236,-137.27798522179725,-3.3147066131966874,A
0,-173.06855051348163,-96.11302264603562,-12.020648335179395,A
0,-179.3419063316851,-29.269758132810125,-35.12917204189441,A
0,-41.360759026507495,-0.38625743073102115,-54.392790284853646,A
0,-184.09649727147564,-51.183010265130264,-27.104317156503466,A
0,-159.5061349959716,0.05202418380581264,-46.75566081881351,A
0,-84.65334790650192,20.918616634621422,-59.03497726103427,A
0,-44.965997035645266,2.6965045719958667,-55.23986286476819,A
0,-117.54082284599545,20.942170573009427,-56.87442775165378,A
0,-183.4916957631254,-45.35360473637042,-29.19557775008111,A
0,-87.35861434575172,21.381087946443053,-59.01931668175909,A
0,-161.71052425755886,-2.0743749023491844,-45.862004750172744,A
0,-180.07196648839104,-81.03126442695157,-16.866083280758325,A
0,-19.034118072191347,-33.404289980585105,-44.24608078865826,A
0,-184.24760321887842,-57.070282408157276,-25.022613193570283,A
0,-45.73972753360364,3.314858501454758,-55.40643704964043,A
0,-65.74267571203177,15.188424739908548,-58.265621687588215,A
0,-184.14128931330882,-60.20867492901498,-23.925219775605594,A
0,-181.91014627016193,-74.8438117645664,-18.922233268489506,A
0,-24.754797747156374,-97.72226456255632,-21.235236461063604,A
0,-29.208517084857277,-14.024434829481002,-50.39490421800748,A
0,-183.30766526344706,-44.138896972746586,-29.635171340445577,A
0,-171.3199418130385,-98.9114992321586,-11.151176596813524,A
0,-175.39948360473323,-20.569504068875496,-38.45079497989466,A
0,-17.42503723664217,-80.65167234709453,-27.725778166680616,A
0,-75.77175104546814,-135.4094177171914,-4.608649634414402,A
0,-86.16999358528426,21.188303451430293,-59.02986181750285,A
0,-93.91888920009066,-138.02426103053574,-2.491729116332568,A
0,-18.24372435427655,-83.28806554450452,-26.744037718587517,A
0,-67.35493664899984,15.859693609209806,-58.39551794326079,A
0,-164.0919790304903,-108.40309955545885,-8.287733935061421,A
0,-19.144674768702032,-85.85677636859134,-25.780689750910632,A
0,-47.34714998937778,4.554279343312629,-55.736585828983465,A
0,-104.41198874920705,-137.82806304566802,-1.8687805052614088,A
0,-70.79619292960784,17.171791252811126,-58.63030550872483,A
0,-167.10119632064328,-104.78912461966465,-9.361046977596214,A
0,-146.93515491124188,9.622717719651085,-50.95262210620805,A
0,-81.5572944713658,-136.66359781377054,-3.7857613652533466,A
0,-158.18041755422252,1.2555070743640755,-47.26659546302675,A
0,-129.35250063664193,17.871390591345808,-55.01486862921381,A
0,-129.2712334904712,-132.30712208418748,-2.172208459585132,A
0,-103.02652682740549,22.431959867170953,-58.355864346530794,A
0,-34.70832687783002,-111.2075175745573,-15.833350121049671,A
0,-29.46432206659007,-13.666992791946228,-50.5038189169059,A
0,-30.5944221688532,-12.134210801049385,-50.96867996839711,A
0,-182.62129731950353,-71.76556487326764,-19.958574019241148,A
0,-98.12703902638135,-138.09291681975645,-2.190053189679581,A
0,-63.90833908690734,-131.48709744016537,-6.771278651489034,A
0,-141.59481507619006,-126.56170755814756,-3.381321336423447,A
0,-158.46491132897873,-114.20450704253838,-6.6173004583591535,A
0,-56.29807526277408,10.468254924809393,-57.22743293881662,A
0,-85.75180627322389,21.116603713189555,-59.03220888233774,A
0,-170.64977899198422,-99.9210369478134,-10.840114311920996,A
0,-171.5966030759111,-98.48510204750175,-11.282981290071568,A
0,-145.91896716977337,10.241741902704199,-51.23747232024432,A
0,-132.46075993855612,-131.03564965736757,-2.409300844360054,A
0,-96.34776197173399,-138.08799408536657,-2.3091239157679055,A
0,-38.38075368378888,-114.94930133286992,-14.274425002394292,A
0,-181.9600688417383,-37.587355599237725,-32.029537777557316,A
0,-178.10932953016794,-86.16978209684467,-15.187262527277722,A
